model,precision,recall,f1_score,top_10_detection_rate,top_20_detection_rate,top_30_detection_rate,roc_auc,pr_auc
Rules only,0.3408179631114675,0.9703196347031964,0.5044510385756676,0.3264840182648402,0.4748858447488584,0.6187214611872146,0.8040549837043917,0.6302633504760253
Isolation Forest only,0.6923076923076923,0.0410958904109589,0.07758620689655173,0.1780821917808219,0.2990867579908676,0.410958904109589,0.5914467404483656,0.3915351860534141
Random Forest only,0.9297423887587822,0.906392694063927,0.9179190751445087,0.3378995433789954,0.6712328767123288,0.910958904109589,0.9786695216228534,0.9562810661424547
Rules + IF,0.6809815950920245,0.2534246575342466,0.36938435940099834,0.23515981735159816,0.4657534246575342,0.593607305936073,0.8127821634032454,0.6100276165865399
Rules + RF,0.5862573099415205,0.9155251141552512,0.714795008912656,0.3356164383561644,0.6552511415525114,0.865296803652968,0.9426557971949195,0.9120322899155436
Hybrid,0.8619153674832962,0.8835616438356164,0.8726042841037204,0.3356164383561644,0.6461187214611872,0.8858447488584474,0.9607314535338682,0.9254191600422972
